"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"103002","Anzola d'Ossola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",377,,
"041002","Apecchio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1692,,
"062003","Apice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5251,,
"043002","Apiro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2027,,
"062004","Apollosa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2467,,
"013010","Appiano Gentile","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7715,,
"021004","Appiano sulla strada del vino/Eppan an der Weinstraße","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",15002,,
"043003","Appignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4078,,
"044005","Appignano del Tronto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1635,,
"014004","Aprica","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1468,,
"008002","Apricale","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",611,,
"078012","Aprigliano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2345,,
"059001","Aprilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",74470,,
"065008","Aquara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1298,,
"008003","Aquila d'Arroscia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",138,,
"064004","Aquilonia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1435,,
"060007","Aquino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4916,,
"075006","Aradeo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8863,,
"084003","Aragona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8682,,
"093002","Arba","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1295,,
"095006","Arborea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3733,,
"002006","Arborio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",839,,
"026002","Arcade","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4475,,
"060008","Arce","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5390,,
"016011","Arcene","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4949,,
"042003","Arcevia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4190,,
"053001","Arcidosso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4227,,
"058008","Arcinazzo Romano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1222,,
"012004","Arcisate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",9853,,
"022006","Arco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",17754,,
"023004","Arcole","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6426,,
"015007","Arconate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6808,,
"108004","Arcore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",17852,,
"090005","Ardara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",716,,
"095007","Ardauli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",760,,
"058117","Ardea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",50292,,
"014005","Ardenno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3217,,
"080005","Ardore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4841,,
"102002","Arena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1259,,
"018005","Arena Po","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1501,,
"010001","Arenzano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11150,,
"013011","Argegno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",671,,
"004006","Argentera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",80,,
"079007","Argusto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",423,,
"073001","Avetrana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6194,,
"066006","Avezzano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",40842,,
"093004","Aviano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",9008,,
"016015","Aviatico","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",580,,
"001013","Avigliana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",12191,,
"076007","Avigliano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10555,,
"055033","Avigliano Umbro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2347,,
"022007","Avio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4132,,
"007006","Avise","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",303,,
"089002","Avola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",30563,,
"006010","Avolasca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",253,,
